timestamp,emotion,confidence
2025-12-31 10:49:06,sad,66.20
2025-12-31 10:49:07,sad,82.01
2025-12-31 10:49:08,sad,84.88
2025-12-31 10:49:08,sad,82.75
2025-12-31 10:49:08,sad,76.55
2025-12-31 10:49:09,sad,80.25
2025-12-31 10:49:12,sad,63.70
2025-12-31 10:49:21,neutral,60.04
2025-12-31 10:49:22,neutral,64.70
2025-12-31 10:49:22,neutral,61.03
2025-12-31 10:49:25,sad,66.61
2025-12-31 10:49:28,sad,60.48
2025-12-31 10:49:29,sad,60.35
2025-12-31 10:49:30,sad,70.51
2025-12-31 10:49:30,sad,69.67
2025-12-31 10:49:31,sad,84.74
2025-12-31 10:49:31,sad,61.17
2025-12-31 11:20:12,angry,60.65
2025-12-31 11:20:18,sad,62.13
2025-12-31 11:20:18,sad,78.03
2025-12-31 11:20:19,sad,71.65
2025-12-31 11:20:19,sad,61.47
2025-12-31 11:20:19,sad,81.37
2025-12-31 11:20:19,sad,80.93
2025-12-31 11:20:19,sad,84.45
2025-12-31 11:20:20,sad,73.07
2025-12-31 11:20:20,sad,92.18
2025-12-31 11:20:20,sad,86.03
2025-12-31 11:20:20,sad,80.69
2025-12-31 11:20:21,sad,61.01
2025-12-31 11:20:22,sad,62.40
2025-12-31 11:20:22,sad,72.10
2025-12-31 11:20:22,sad,81.90
2025-12-31 11:20:22,sad,87.92
2025-12-31 11:20:22,sad,80.98
2025-12-31 11:20:22,sad,74.38
2025-12-31 11:20:23,sad,85.01
2025-12-31 11:20:23,sad,63.46
2025-12-31 11:20:23,sad,82.47
2025-12-31 11:20:23,sad,78.59
2025-12-31 11:20:23,sad,66.45
2025-12-31 11:20:23,sad,75.85
2025-12-31 11:20:24,sad,83.37
2025-12-31 11:20:24,sad,86.46
2025-12-31 11:20:24,sad,66.87
2025-12-31 11:20:24,sad,66.52
2025-12-31 11:20:25,sad,61.47
2025-12-31 11:20:25,sad,65.61
2025-12-31 11:20:25,sad,62.10
2025-12-31 11:20:26,sad,84.20
2025-12-31 11:20:26,sad,72.94
2025-12-31 11:20:27,sad,76.04
